Comment,Sentiment
👍,neutral
I am India but I love all,positive
❤,neutral
0:04,neutral
Bankim Chandra Chatterjee❤,neutral
Kon kon 2025 me dekh raha he,neutral
Child is God,positive
2025😅 0:23,neutral
❤❤❤,neutral
"सम्पूर्ण वन्दे मातरम् के गायन से आक्रांताओं की पकड़ में सिसक रहें है, प्राचीन मंदिरों को मुक्ति मिलेगी, सदियों से  बाधित जीर्णोद्धार आरंभ हो पाएगा।  काशी में स्वंभू पधारेंगे नंन्दी पे सवार, मथुरा में केशव लल्ला को भोग लगेगा माखन का - सदियों उपरांत।  कावड़ियों और तीर्थ यात्रियों को मुक्ति मिलेगी थूके-हुए खाने और पत्थरबाजी से। गुलामी-प्रेमी न्यायप्रणाली और तुस्तीकरण की राजनीति  होगी ध्वस्त । रामचरित मानस, वेद, योग और मनुस्मृति  का सम्मान स्थापित होगा।  हर हर महादेव 🚩 और जय श्री राम 🪔🕉  के भक्ति रस में डूबेगा - सनातनी भारत।",neutral
"सम्पूर्ण वन्दे मातरम् के गायन से आक्रांताओं की पकड़ में सिसक रहें है, प्राचीन मंदिरों को मुक्ति मिलेगी, सदियों से  बाधित जीर्णोद्धार आरंभ हो पाएगा।  काशी में स्वंभू पधारेंगे नंन्दी पे सवार, मथुरा में केशव लल्ला को भोग लगेगा माखन का - सदियों उपरांत।  कावड़ियों और तीर्थ यात्रियों को मुक्ति मिलेगी थूके-हुए खाने और पत्थरबाजी से। गुलामी-प्रेमी न्यायप्रणाली और तुस्तीकरण की राजनीति  होगी ध्वस्त । रामचरित मानस, वेद, योग और मनुस्मृति  का सम्मान स्थापित होगा।  हर हर महादेव 🚩 और जय श्री राम 🪔🕉  के भक्ति रस में डूबेगा - सनातनी भारत।",neutral
I❤bhart,neutral
എനിക്ക് കുറേ പ്രവേശംകെട്ട് ഇഷ്ട്ടപ്പെട്ട്🥰🥰❤️❤️😍😍🙏👌,neutral
Super😂😂❤❤,neutral
I am from Italy but I respect indian 🎉❤,positive
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳👌👌🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,neutral
👌👌👌👌👌👍👍👌👌👌👌👌👌👌,neutral
I love India,positive
I am indian.....i love my country.....❤❤❤❤❤,positive
"TO,
THE HONOURABLE EXCELLENCY
THE SECRETARY GENERAL OF UNITED NATION ORGANISATION,NEW YORK-U.S.A/interpol
2---PRESIDENT OF INDIA-NEW DELHI-INDIA/CHIEF JUSTICE,SUPREME COURT OF INDIA-NEW DELHI-INDIA-NATIONAL HUMAN RIGHTS COMMISSION OF INDIA-NEW DELHI-INDIA
3-COLLECTOR AND DISTRICT MAGISTRTAE ,KAMAREDDY-503111
MAY IT PLEASE YOUR HONOURABLE EXCELLENCY LORDSHIP,
SUBJECT:-CANCELLATION OF EDUCATIONAL CERTIFICATES  OF NURSERY TO POST GRADUATION ISSUED BY THE GOVERNMENT OF INDIA :- REQUEST REGARD
I MR.EKA.SRINIVASRAO,TS/21658/2008 R/O H.NO:-5-8-492,ASHPK NAGAR COLONY,KAMAREDDY-503111 SUBMIT THAT ....
MY DRAFTING,PLEADING,CONVEYANCE AND KNOWLEDGE OF ALL LAWS ARE NOT EXCELLENT .SO I PRAYED HUMBLY BEFORE THE GOVERNMENT OF INDIA,DISTRICT COLLECTOR AND MAGISTRATE,KAMAREDDY AND OTHERS TO CANCEL BUT NO ACTION HAS BEEN TAKEN.
SO ONCE AGAIN PRAY THE SECRETARY GENERAL OF UNITED NATION ORGANISATION,U.S.A GOVERNMENT TO CANCEL MY EDUCATIONAL CERTIFICATES ISSUED BY THE GOVERNMENT OF INDIA.----
CANCEL MY EDUCATIONAL CERTIFICATES IF I HAD TOUCHED ANY WOMAN SEXUALLY AND PARTICIPATED IN SEXUAL INTERCOURSE WITH ANY WOMAN,MEN,TRANSGENDERS ETC ANIMALS.CANCEL MY EDUCATIONAL CERTIFICATES IF I'M MARRIED TO ANY WOMEN ETC ANIMALS ETC BIRDS ETC
CANCEL MY EDUCATIONAL CERTIFICATES IF ANYONE HAD ATTACKED ME,TORTURE ME,HARASSED ME..ETC 

 CANCEL MY EDUCATIONAL CERTIFICATES ISSUED BY THE GOVERNMENT OF INDIA.IF I HAD VIOLATED ANY LAWS OF GOVERNMENT OF INDIA,PAKISTAN,CHINA,BANGLADESH ETC,CANCEL MY EDUCATIONAL CERTIFICATES ISSUED BY THE GOVERNMENT OF INDIA.
IF I HAD ATTACKED,INJURED ETC .EVE TEASED,DESTROYED ,MISUSED,TORTURED,USED FILTHY LANGUAGE  ON ANY ONE ,ABUSED ANYONE ..ANY ONE ON THIS EARTH
HENCE PRAYED.
THANKING YOU                           YOURS FAITHFULLY
FROM:-EKA/SRINIVAS RAO,TS/21658/2008 R/O H.NO:-5-8-492,ASHOK NAGAR COLONY,KAMAREDDY-503111-TELANGANA-INDIA",negative
Me am at 2025,neutral
❤❤❤❤❤❤❤❤❤,neutral
Unpopular opinion but as the society goes ahead we need a remake of this song with newer beats for the next gen,neutral
"😊
///
//",neutral
